TEXT,LATITUDE,LONGITUDE,ALTITUDE,TYPE
New York City,40.7127,-74.0059,0,city
Mexico City,19.433332999999998,-99.133333,0,city
San Diego,32.715,-117.1625,0,city
"Stockton, CA",37.975556,-121.30083300000001,0,city
San Francisco,37.783333,-122.41666699999999,0,city
1947,40.7127,-74.0059,0,year
1948,40.7127,-74.0059,365,year
1947,19.433332999999998,-99.133333,0,year
1948,19.433332999999998,-99.133333,365,year
1947,32.715,-117.1625,0,year
1948,32.715,-117.1625,365,year
1947,37.975556,-121.30083300000001,0,year
1948,37.975556,-121.30083300000001,365,year
1949,37.975556,-121.30083300000001,731,year
1947,37.783333,-122.41666699999999,0,year
1948,37.783333,-122.41666699999999,365,year
1949,37.783333,-122.41666699999999,731,year
