LATITUDE,LONGITUDE,ALTITUDE,GROUP,CITY,DATE
40.7127,-74.0059,72,1,New York City,"Mar 14, 1947"
40.7127,-74.0059,96,1,New York City,"Apr 7, 1947"
19.433332999999998,-99.133333,178,2,Mexico City,"Jun 28, 1947"
19.433332999999998,-99.133333,243,2,Mexico City,"Sep 1, 1947"
32.715,-117.1625,362,3,San Diego,"Dec 29, 1947"
32.715,-117.1625,362,3,San Diego,"Dec 29, 1947"
37.975556,-121.30083300000001,366,3,"Stockton, CA","Jan 2, 1948"
37.975556,-121.30083300000001,366,3,"Stockton, CA","Jan 2, 1948"
37.783333,-122.41666699999999,368,3,San Francisco,"Jan 4, 1948"
37.783333,-122.41666699999999,368,3,San Francisco,"Jan 4, 1948"
